game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,0,1,1,10.02,0,18,0.985,1,1,0,499
0,0,0,1,0.579,2,20,0.993,2,1,0,939
1,2,0,1,10,0,,0,,0,0,
1,0,0,2,0.0,,9,0.0,3,0,1,857
1,0,0,1,6.919,1,13,0.92,4,1,0,667
2,0,1,1,4.231,2,16,0.903,5,1,0,584
