cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
0.549,1,4.557,17,0,,947,0,0.0,1
0.0,2,0.0,10,1,,693,0,0.0,2
0.491,3,11.48,9,0,,537,0,0.0,1
1.277,4,12.29,7,1,,391,0,0.0,2
1.267,5,10.551,11,0,,373,0,0.0,1
