cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
0.373,1,2.638,6,0,,111,0,0.0,1
2.206,2,8.961,8,0,,158,0,0.0,2
0.747,3,2.945,20,0,,183,0,0.0,1
1.853,4,3.031,17,0,,192,0,0.0,1
1.8,5,2.85,7,0,,253,0,0.0,1
