game_state,user_action,agent_assistance,attempt,react_time,user_react_time,from,elapsed_time,to,agent_feedback,timeout,token_id
0,0,0,1,8.554,1,20,1.118,1,1,0,947
0,2,0,1,10,0,,0,,0,0,
0,0,1,2,6.179,1,6,1.493,2,1,1,693
1,0,1,1,2.95,2,10,1.877,3,1,0,537
1,0,1,1,3.562,2,17,2.415,4,1,0,391
2,0,0,1,7.295,1,15,1.223,5,1,0,373
