cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
0.863,1,3.067,6,0,,111,0,0.0,1
3.265,2,6.04,7,0,,158,0,0.0,3
1.195,3,2.797,8,0,,183,0,0.0,1
1.996,4,6.159,20,0,,192,0,0.0,1
0.957,5,5.125,17,0,,253,0,0.0,1
