cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
2.388,1,7.728,6,0,,1887,0,0.0,4
1.875,2,4.809,7,1,,1565,0,0.0,4
0.356,3,0.641,8,1,,1473,0,0.0,1
0.332,4,0.666,9,1,,1457,0,0.0,1
0.214,5,0.45,10,1,,1305,0,0.0,1
