cum_elapsed_time,to,cum_react_time,from,timeout,user_action,token_id,caregiver_feedback,avg_caregiver_assistance_per_move,attempt
6.123,1,13.904,6,0,,1887,0,0.0,4
1.478,2,6.396,7,0,,1565,0,0.0,4
